field,value
principal_branches.matter_to_radiation.finite_lattice_solution.delta.real,0.0000000000000001126814619049715794507190444128659449773047029091212434987755412321217673189951928415739825537522048
principal_branches.matter_to_radiation.finite_lattice_solution.delta.imag,0.0
principal_branches.matter_to_radiation.finite_lattice_solution.phi.real,0.0
principal_branches.matter_to_radiation.finite_lattice_solution.phi.imag,1.000000000000000112681461904971579450719044412865944977304702909121243498775541232121767318995192842
principal_branches.matter_to_radiation.finite_lattice_solution.g2.real,188.7959046249126242252126625988032564430074572135996035359782801125501678661012388240899407007007492
principal_branches.matter_to_radiation.finite_lattice_solution.g2.imag,-2.69916718917781457954745019334054308472854761396949035486618363869979603340579159197775713488232504e-101
principal_branches.matter_to_radiation.finite_lattice_solution.g3.real,0.0000000000002137025537321449588316419142939567495009414143352755563247208158012683019513991340716969446080197956
principal_branches.matter_to_radiation.finite_lattice_solution.g3.imag,7.87843837097751315315862975835590860281618458922469264383128612418201419041369818537573221340009582e-101
principal_branches.matter_to_radiation.finite_lattice_solution.K.real,281211440217254.6715004973729319935297832745801811422001729403889822749844013858101071334993473063773
principal_branches.matter_to_radiation.finite_lattice_solution.K.imag,-1.036724626015648018240639874164632165675780196868949938811229458017877433480014227165198967352239618e-73
principal_branches.matter_to_radiation.finite_lattice_solution.kappa,281211440217254.6715004973729319935297832745801811422001729403889822749844013858101071334993473063773
principal_branches.matter_to_radiation.finite_lattice_solution.phase_rad,-3.686637446949913597974904878716970125277534503843932497050131660684338682267743488990771937692205149e-88
principal_branches.matter_to_radiation.finite_lattice_solution.B_mod.real,4976652123348226483707286711468.075739191990101018443901997381383163485712536260971361622971085110241
principal_branches.matter_to_radiation.finite_lattice_solution.B_mod.imag,-3.669422415675675146876009604512051725013173608105771913637768050876645364275804772994031269323189858e-57
principal_branches.matter_to_radiation.finite_lattice_solution.B_mod_alt.real,4976652123348226483707286711468.075739191990101018443901997381383163485712536260971361622971085110241
principal_branches.matter_to_radiation.finite_lattice_solution.B_mod_alt.imag,-3.669422415675675146876009604512051725013173608105771913637768050876645364275804772994031269323189858e-57
principal_branches.matter_to_radiation.finite_lattice_solution.discriminant.real,6729421.137158783469165704824234966104665461434729067822753766317529264875180225051012409378843824773
principal_branches.matter_to_radiation.finite_lattice_solution.discriminant.imag,-2.886264843244142736503412281109207806912928155160791321993661128380647811658139719040873546868539472e-96
principal_branches.matter_to_radiation.finite_lattice_solution.j_invariant.real,1728.000000000000000000000000000316627927560565557263740488436350566880190645083906368735283097912161
principal_branches.matter_to_radiation.finite_lattice_solution.j_invariant.imag,2.334584748989851633144436317861416089707347642099853624578726278815165239427517988801129354304213953e-115
principal_branches.matter_to_radiation.finite_lattice_solution.target.real,4976652123348226483707286711468.075739191990101018443901997381383163485712536260971360988465733907812
principal_branches.matter_to_radiation.finite_lattice_solution.target.imag,0.0
principal_branches.matter_to_radiation.finite_lattice_solution.closure_residual.real,6.345053512024287448951964145041904481142682712774034756521046384654691459574024921888107368462137767e-55
principal_branches.matter_to_radiation.finite_lattice_solution.closure_residual.imag,-3.669422415675675146876009604512051725013173608105771913637768050876645364275804772994031269323189858e-57
principal_branches.matter_to_radiation.finite_lattice_solution.alternate_form_residual.real,-7.24454326306136989400729543271023342454602495851131055166609191194840105487427609179162516156876648e-71
principal_branches.matter_to_radiation.finite_lattice_solution.alternate_form_residual.imag,0.0
independent_q_series_check.solution.delta.real,0.0000000000000001129295363136159915208063796253285386188940685483923193986018398245631990230259115401696503008455427
independent_q_series_check.solution.delta.imag,0.0
independent_q_series_check.solution.phi.real,0.0
independent_q_series_check.solution.phi.imag,1.00000000000000011292953631361599152080637962532853861889406854839231939860183982456319902302591154
independent_q_series_check.solution.g2.real,189.0727201292338095892721690380018293939375631223972420653656429424375841788230755578401030904925234
independent_q_series_check.solution.g2.imag,0.0
independent_q_series_check.solution.g3.real,0.0000000000002141727270042019034692391354578367479183508601542658863970318198999199272544377580234954262035559532
independent_q_series_check.solution.g3.imag,0.0
independent_q_series_check.solution.K.real,281005508341943.8525398888342843398059760753613838238717250158640123075166912035626073862125811849089
independent_q_series_check.solution.K.imag,0.0
independent_q_series_check.solution.kappa,281005508341943.8525398888342843398059760753613838238717250158640123075166912035626073862125811849089
independent_q_series_check.solution.phase_rad,0.0
independent_q_series_check.solution.B_mod.real,4976652123348226483707286711468.075739191990101018443901997381383163485712536260971360669855341055169
independent_q_series_check.solution.B_mod.imag,0.0
independent_q_series_check.solution.B_mod_alt.real,4976652123348226483707286711468.075739191990101018443901997381383163485712536260971360669855341055169
independent_q_series_check.solution.B_mod_alt.imag,0.0
independent_q_series_check.solution.discriminant.real,6759064.906012792583284771721702481267774377926865886482728240564367597787313539043113973551021419697
independent_q_series_check.solution.discriminant.imag,0.0
independent_q_series_check.solution.j_invariant.real,1728.000000000000000000000000000316627927560565557263740488436350566880190645083906368735283097912161
independent_q_series_check.solution.j_invariant.imag,0.0
independent_q_series_check.solution.target.real,4976652123348226483707286711468.075739191990101018443901997381383163485712536260971360988465733907812
independent_q_series_check.solution.target.imag,0.0
independent_q_series_check.solution.closure_residual.real,-3.186103928526429738352976412863887882918767092930331217832228310976055124708866849882910064371936377e-55
independent_q_series_check.solution.closure_residual.imag,0.0
independent_q_series_check.solution.alternate_form_residual.real,-3.62227163153068494700364771635511671227301247925565527583304595597420052743713804589581258078438324e-71
independent_q_series_check.solution.alternate_form_residual.imag,0.0
independent_q_series_check.relative_kappa_shift_vs_finite_N,-0.0007323026230786442926811058457621536463796653658038294538906699318916282427444404437339835955927158818
independent_q_series_check.relative_kappa_shift_percent,-0.07323026230786442926811058457621536463796653658038294538906699318916282427444404437339835955927158818
truncation_scan[0].N,4
truncation_scan[0].delta_real,0.0000000000000001120438199795982582243084125870413762901606751709652472758735661783826129914243687977100001580753362
truncation_scan[0].kappa,281742299414669.7209915416567625368239234550899820852919931884097918615654391434030905020496441842001
truncation_scan[0].K_real,281742299414669.7209915416567625368239234550899820852919931884097918615654391434030905020496441842001
truncation_scan[0].K_imag,1.203483318419973624843631475241955861904413347263780028421747786753152477611777286637258959959697728e-73
truncation_scan[1].N,6
truncation_scan[1].delta_real,0.0000000000000001125052322291016586292067475915320444042913429338161644086817792420715721924206314683958288777615705
truncation_scan[1].kappa,281357936500382.2148666400866976531873683294959093588572124720842831250309127236972957210620626531607
truncation_scan[1].K_real,281357936500382.2148666400866976531873683294959093588572124720842831250309127236972957210620626531607
truncation_scan[1].K_imag,-2.082753757013393009762331637216826909477284050127831295630844101351044593078881437449027740401609088e-74
truncation_scan[2].N,8
truncation_scan[2].delta_real,0.0000000000000001126814619049715794507190444128659449773047029091212434987755412321217673189951928415739825504886184
truncation_scan[2].kappa,281211440217254.6715004973729319935297832745801811422001729403889822749844013858101071334993473063773
truncation_scan[2].K_real,281211440217254.6715004973729319935297832745801811422001729403889822749844013858101071334993473063773
